Budget FY,Fiscal Period,Fiscal Period Name,Function,Spec Dept,Dept #,Dept,Amount
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,9,March,Justice System,Parole,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
2012,6,December,Human Services,Human Services,,,
